Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,final_label
6,36888295,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.05421774,3.69e+07,0.0,36900000.0,36900000.0,36900000.0,3.69e+07,0.0,36900000.0,36900000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.05421774,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0.0,0.0,0.0,0.0,3.69e+07,0.0,36900000.0,36900000.0,DDoS attacks-LOIC-HTTP,DDoS
6,115885481,16,14,408,752.0,397,0,25.5,99.06765,752,0,53.714287,200.98045,10.0098820835,0.2588762608,3.996051e+06,4.886768e+06,10014174.0,36.0,115885481.0,7.7256985e+06,4.1310738e+06,10031090.0,173.0,110196033.0,8.476618e+06,3.7595028e+06,10025357.0,107.0,0,0,0,0,332,424,0.13806733,0.12080892,0,752,37.419353,150.52325,22657.252,0,0,0,1,0,0,0,0,0,38.666668,25.5,53.714287,0,0,0,0,0,0,16,408,14,752,8192,60,12,20,20185.545,28049.49,104598.0,11122.0,9.997641e+06,25378.793,10014174.0,9921650.0,Benign,Benign
0,151506,5,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,33.0019933204,37876.5,67212.305,138568.0,244.0,151506.0,37876.5,67212.305,138568.0,244.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,33.001995,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,0,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,116717527,12,12,662,3650.0,229,0,55.166668,79.08664,1410,0,304.16666,528.73035,36.9438944675,0.2056246445,5.074675e+06,1.6733486e+07,58114848.0,0.0,116717527.0,1.0610684e+07,2.3501954e+07,58176443.0,284.0,116622475.0,1.0602043e+07,2.3517968e+07,58202520.0,0.0,0,0,0,0,252,252,0.10281232,0.10281232,0,1410,172.48,384.43195,147787.92,0,0,0,1,0,0,0,0,1,179.66667,55.166668,304.16666,0,0,0,0,0,0,12,662,12,3650,8192,119,6,20,214361.0,154261.0,323440.0,105282.0,5.8105412e+07,13342.397,58114848.0,58095979.0,Benign,Benign
6,6298419,4,4,97,231.0,97,0,24.25,48.5,231,0,57.75,115.5,52.0765608004,1.2701600195,899774.1,2.3532835e+06,6236268.0,41.0,62151.0,20717.0,35623.113,61851.0,108.0,6298268.0,2.0994228e+06,3.635846e+06,6297736.0,229.0,0,0,0,0,92,92,0.63508004,0.63508004,0,231,36.444443,79.69961,6352.028,0,0,0,1,0,0,0,0,1,41.0,24.25,57.75,0,0,0,0,0,0,4,97,4,231,8192,141,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
17,918,1,1,30,110.0,30,30,30.0,0.0,110,110,110.0,0.0,152505.4466,2178.649237,918.0,0.0,918.0,918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,1089.3246,1089.3246,30,110,56.666668,46.188023,2133.3333,0,0,0,0,0,0,0,0,1,85.0,30.0,110.0,0,0,0,0,0,0,1,30,1,110,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infilteration,Infiltration
6,467,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4282.6552462527,467.0,0.0,467.0,467.0,467.0,467.0,0.0,467.0,467.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,4282.6553,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,252,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,5067335,9,8,1144,1581.0,677,0,127.111115,218.50883,1173,0,197.625,406.1217,537.7580128411,3.3548206306,316708.44,752504.4,3002618.0,2.0,5067335.0,633416.9,1.04368594e+06,3046802.0,2.0,4893225.0,699032.1,1.0553082e+06,3002618.0,170840.0,0,0,0,0,204,184,1.7760816,1.5787392,0,1173,151.38889,305.03986,93049.31,0,0,0,1,0,0,0,0,0,160.29411,127.111115,197.625,0,0,0,0,0,0,9,1144,8,1581,8192,62856,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
6,1481825,3,4,20,964.0,20,0,6.6666665,11.547006,964,0,241.0,482.0,664.0460243,4.723904645,246970.83,604742.9,1481397.0,4.0,406.0,203.0,108.89445,280.0,126.0,1481820.0,493940.0,855162.9,1481397.0,18.0,0,0,0,0,72,92,2.0245306,2.6993742,0,964,123.0,339.8874,115523.43,0,0,1,1,0,0,0,1,1,140.57143,6.6666665,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS
6,4468372,5,3,935,293.0,935,0,187.0,418.1447,293,0,97.666664,169.16364,274.8204345703125,1.7903612852096558,638338.9,1.6419778e+06,4361775.0,7.0,4468372.0,1.117093e+06,2.1633345e+06,4361782.0,19.0,73456.0,36728.0,2347.5945,38388.0,35068.0,0,0,0,0,168,104,1.1189758,0.67138547,0,935,136.44444,314.74597,99065.03,0,0,0,0,1,0,0,0,0,153.5,187.0,97.666664,0,0,0,0,0,0,5,935,3,293,219,211,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign
